ID	Name	Codepoint
0330	WRAPPED PRESENT	U+1F381
0331	BIRTHDAY CAKE	U+1F382
0332	CHRISTMAS TREE	U+1F384
0333	FATHER CHRISTMAS	U+1F385
0334	CROSSED FLAGS	U+1F38C
0335	FIREWORKS	U+1F386
0336	BALLOON	U+1F388
0337	PARTY POPPER	U+1F389
0338	PINE DECORATION	U+1F38D
0339	JAPANESE DOLLS	U+1F38E
0340	GRADUATION CAP	U+1F393
0341	SCHOOL SATCHEL	U+1F392
0342	CARP STREAMER	U+1F38F
0343	FIREWORK SPARKLER	U+1F387
0344	WIND CHIME	U+1F390
0345	JACKOLANTERN	U+1F383
0346	CONFETTI BALL	U+1F38A
0347	TANABATA TREE	U+1F38B
0348	PAGER	U+1F4DF
0349	BLACK TELEPHONE	U+260E
0350	TELEPHONE RECEIVER	U+1F4DE
0351	MOBILE PHONE	U+1F4F1
0352	MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT	U+1F4F2
0353	MEMO	U+1F4DD
0354	FAX MACHINE	U+1F4E0
0355	ENVELOPE	U+2709
0356	INCOMING ENVELOPE	U+1F4E8
0357	ENVELOPE WITH DOWNWARDS ARROW ABOVE	U+1F4E9
0358	CLOSED MAILBOX WITH LOWERED FLAG	U+1F4EA
0359	CLOSED MAILBOX WITH RAISED FLAG	U+1F4EB
0360	POSTBOX	U+1F4EE
0361	PUBLIC ADDRESS LOUDSPEAKER	U+1F4E2
0362	CHEERING MEGAPHONE	U+1F4E3
0363	SATELLITE ANTENNA	U+1F4E1
0364	SPEECH BALLOON	U+1F4AC
0365	OUTBOX TRAY	U+1F4E4
0366	INBOX TRAY	U+1F4E5
0367	PACKAGE	U+1F4E6
0368	BLACK NIB	U+2712
0369	SEAT	U+1F4BA
0370	PERSONAL COMPUTER	U+1F4BB
0371	PENCIL	U+270F
0372	PAPERCLIP	U+1F4CE
0373	BRIEFCASE	U+1F4BC
0374	MINIDISC	U+1F4BD
0375	FLOPPY DISK	U+1F4BE
0376	BLACK SCISSORS	U+2702
0377	ROUND PUSHPIN	U+1F4CD
0378	PAGE WITH CURL	U+1F4C3
0379	PAGE FACING UP	U+1F4C4
0380	CALENDAR	U+1F4C5
0381	FILE FOLDER	U+1F4C1
0382	OPEN FILE FOLDER	U+1F4C2
0383	NOTEBOOK	U+1F4D3
0384	OPEN BOOK	U+1F4D6
0385	NOTEBOOK WITH DECORATIVE COVER	U+1F4D4
0386	CLIPBOARD	U+1F4CB
0387	TEAROFF CALENDAR	U+1F4C6
0388	BAR CHART	U+1F4CA
0389	ir	U+1F4C8
0390	CHART WITH DOWNWARDS TREND	U+1F4C9
0391	CARD INDEX	U+1F4C7
0392	PUSHPIN	U+1F4CC
0393	LEDGER	U+1F4D2
0394	STRAIGHT RULER	U+1F4CF
0395	TRIANGULAR RULER	U+1F4D0
0396	BOOKMARK TABS	U+1F4D1
0397	FOOTPRINTS	U+1F463
0398	REGIONAL INDICATOR SYMBOL LETTER A	U+1F1E6
0399	REGIONAL INDICATOR SYMBOL LETTER B	U+1F1E7
0400	REGIONAL INDICATOR SYMBOL LETTER C	U+1F1E8
0401	REGIONAL INDICATOR SYMBOL LETTER D	U+1F1E9
0402	REGIONAL INDICATOR SYMBOL LETTER E	U+1F1EA
0403	REGIONAL INDICATOR SYMBOL LETTER F	U+1F1EB
0404	REGIONAL INDICATOR SYMBOL LETTER G	U+1F1EC
0405	REGIONAL INDICATOR SYMBOL LETTER H	U+1F1ED
0406	REGIONAL INDICATOR SYMBOL LETTER I	U+1F1EE
0407	REGIONAL INDICATOR SYMBOL LETTER J	U+1F1EF
0408	REGIONAL INDICATOR SYMBOL LETTER K	U+1F1F0
0409	REGIONAL INDICATOR SYMBOL LETTER L	U+1F1F1
0410	REGIONAL INDICATOR SYMBOL LETTER M	U+1F1F2
0411	REGIONAL INDICATOR SYMBOL LETTER N	U+1F1F3
0412	REGIONAL INDICATOR SYMBOL LETTER O	U+1F1F4
0413	REGIONAL INDICATOR SYMBOL LETTER P	U+1F1F5
0414	REGIONAL INDICATOR SYMBOL LETTER Q	U+1F1F6
0415	REGIONAL INDICATOR SYMBOL LETTER R	U+1F1F7
0416	REGIONAL INDICATOR SYMBOL LETTER S	U+1F1F8
0417	REGIONAL INDICATOR SYMBOL LETTER T	U+1F1F9
0418	REGIONAL INDICATOR SYMBOL LETTER U	U+1F1FA
0419	REGIONAL INDICATOR SYMBOL LETTER V	U+1F1FB
0420	REGIONAL INDICATOR SYMBOL LETTER W	U+1F1FC
0421	REGIONAL INDICATOR SYMBOL LETTER X	U+1F1FD
0422	REGIONAL INDICATOR SYMBOL LETTER Y	U+1F1FE
0423	REGIONAL INDICATOR SYMBOL LETTER Z	U+1F1FF
0424	RUNNING SHIRT WITH SASH	U+1F3BD
0425	BASEBALL	U+26BE
0426	FLAG IN HOLE	U+26F3
0427	TENNIS RACQUET AND BALL	U+1F3BE
0428	SOCCER BALL	U+26BD
0429	SKI AND SKI BOOT	U+1F3BF
0430	BASKETBALL AND HOOP	U+1F3C0
0431	CHEQUERED FLAG	U+1F3C1
0432	SNOWBOARDER	U+1F3C2
0433	RUNNER	U+1F3C3
0434	SURFER	U+1F3C4
0435	TROPHY	U+1F3C6
0436	HORSE	U+1F40E
0437	AMERICAN FOOTBALL	U+1F3C8
0438	SWIMMER	U+1F3CA
0439	RAILWAY CAR	U+1F683
0440	METRO	U+1F687
0441	CIRCLED LATIN CAPITAL LETTER M	U+24C2
0442	HIGHSPEED TRAIN	U+1F684
0443	HIGHSPEED TRAIN WITH BULLET NOSE	U+1F685
0444	AUTOMOBILE	U+1F697
0445	RECREATIONAL VEHICLE	U+1F699
0446	BUS	U+1F68C
0447	BUS STOP	U+1F68F
0448	SHIP	U+1F6A2
0449	AIRPLANE	U+2708
0450	SAILBOAT	U+26F5
0451	BICYCLE	U+1F6B2
0452	STATION	U+1F689
0453	ROCKET	U+1F680
0454	SPEEDBOAT	U+1F6A4
0455	TAXI	U+1F695
0456	PEDESTRIAN	U+1F6B6
0457	DELIVERY TRUCK	U+1F69A
0458	FIRE ENGINE	U+1F692
0459	AMBULANCE	U+1F691
0460	POLICE CAR	U+1F693
0461	FUEL PUMP	U+26FD
0462	NEGATIVE SQUARED LATIN CAPITAL LETTER P	U+1F17F
0463	HORIZONTAL TRAFFIC LIGHT	U+1F6A5
0464	CONSTRUCTION SIGN	U+1F6A7
0465	POLICE CARS REVOLVING LIGHT	U+1F6A8
0466	HOT SPRINGS	U+2668
0467	TENT	U+26FA
0468	CAROUSEL HORSE	U+1F3A0
0469	FERRIS WHEEL	U+1F3A1
0470	ROLLER COASTER	U+1F3A2
0471	FISHING POLE AND FISH	U+1F3A3
0472	MICROPHONE	U+1F3A4
0473	MOVIE CAMERA	U+1F3A5
0474	CINEMA	U+1F3A6
0475	HEADPHONE	U+1F3A7
0476	ARTIST PALETTE	U+1F3A8
0477	TOP HAT	U+1F3A9
0478	CIRCUS TENT	U+1F3AA
0479	TICKET	U+1F3AB
0480	CLAPPER BOARD	U+1F3AC
0481	PERFORMING ARTS	U+1F3AD
0482	VIDEO GAME	U+1F3AE
0483	MAHJONG TILE RED DRAGON	U+1F004
0484	DIRECT HIT	U+1F3AF
0485	SLOT MACHINE	U+1F3B0
0486	BILLIARDS	U+1F3B1
0487	GAME DIE	U+1F3B2
0488	BOWLING	U+1F3B3
0489	FLOWER PLAYING CARDS	U+1F3B4
0490	PLAYING CARD BLACK JOKER	U+1F0CF
0491	MUSICAL NOTE	U+1F3B5
0492	MULTIPLE MUSICAL NOTES	U+1F3B6
0493	SAXOPHONE	U+1F3B7
0494	GUITAR	U+1F3B8
0495	MUSICAL KEYBOARD	U+1F3B9
0496	TRUMPET	U+1F3BA
0497	VIOLIN	U+1F3BB
0498	MUSICAL SCORE	U+1F3BC
0499	PART ALTERNATION MARK	U+303D
0500	TELEVISION	U+1F4FA
0501	OPTICAL DISC	U+1F4BF
0502	DVD	U+1F4C0
0503	RADIO	U+1F4FB
0504	VIDEOCASSETTE	U+1F4FC
0505	SPEAKER WITH THREE SOUND WAVES	U+1F50A
0506	NEWSPAPER	U+1F4F0
0507	KISS MARK	U+1F48B
0508	LOVE LETTER	U+1F48C
0509	RING	U+1F48D
0510	GEM STONE	U+1F48E
0511	KISS	U+1F48F
0512	BOUQUET	U+1F490
0513	COUPLE WITH HEART	U+1F491
0514	WEDDING	U+1F492
0515	DOUBLE CURLY LOOP	U+27BF
0516	HASH KEY	U+0023-20E3
0517	KEYCAP 1	U+0031-20E3
0518	KEYCAP 2	U+0032-20E3
0519	KEYCAP 3	U+0033-20E3
0520	KEYCAP 4	U+0034-20E3
0521	KEYCAP 5	U+0035-20E3
0522	KEYCAP 6	U+0036-20E3
0523	KEYCAP 7	U+0037-20E3
0524	KEYCAP 8	U+0038-20E3
0525	KEYCAP 9	U+0039-20E3
0526	KEYCAP 0	U+0030-20E3
0527	ANTENNA WITH BARS	U+1F4F6
0528	VIBRATION MODE	U+1F4F3
0529	MOBILE PHONE OFF	U+1F4F4
0530	KEYCAP TEN	U+1F51F
0531	HAMBURGER	U+1F354
0532	RICE BALL	U+1F359
0533	SHORTCAKE	U+1F370
0534	STEAMING BOWL	U+1F35C
0535	BREAD	U+1F35E
0536	COOKING	U+1F373
0537	SOFT ICE CREAM	U+1F366
0538	FRENCH FRIES	U+1F35F
0539	DANGO	U+1F361
0540	RICE CRACKER	U+1F358
0541	COOKED RICE	U+1F35A
0542	SPAGHETTI	U+1F35D
0543	CURRY AND RICE	U+1F35B
0544	ODEN	U+1F362
0545	SUSHI	U+1F363
0546	BENTO BOX	U+1F371
0547	POT OF FOOD	U+1F372
0548	SHAVED ICE	U+1F367
0549	MEAT ON BONE	U+1F356
0550	FISH CAKE WITH SWIRL DESIGN	U+1F365
0551	ROASTED SWEET POTATO	U+1F360
0552	SLICE OF PIZZA	U+1F355
0553	POULTRY LEG	U+1F357
0554	ICE CREAM	U+1F368
0555	DOUGHNUT	U+1F369
0556	COOKIE	U+1F36A
0557	CHOCOLATE BAR	U+1F36B
0558	CANDY	U+1F36C
0559	LOLLIPOP	U+1F36D
0560	CUSTARD	U+1F36E
0561	HONEY POT	U+1F36F
0562	FRIED SHRIMP	U+1F364
0563	FORK AND KNIFE	U+1F374
0564	HOT BEVERAGE	U+2615
0565	COCKTAIL GLASS	U+1F378
0566	BEER MUG	U+1F37A
0567	TEACUP WITHOUT HANDLE	U+1F375
0568	SAKE BOTTLE AND CUP	U+1F376
0569	WINE GLASS	U+1F377
0570	CLINKING BEER MUGS	U+1F37B
0571	TROPICAL DRINK	U+1F379
0572	NORTH EAST ARROW	U+2197
0573	SOUTH EAST ARROW	U+2198
0574	NORTH WEST ARROW	U+2196
0575	SOUTH WEST ARROW	U+2199
0576	ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS	U+2934
0577	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS	U+2935
